School District Name,City,County,,Up to date with vaccinations - Percentage,Conditional vaccination status - Percentage,Permanent Medical Exemption - Percentage,Personal Belief Exemption - Percentage,"Without Diphtheria, Tetanus, Pertussis - Percentage",Without Polio - Percentage,"Without Measles, Mumps, Rubella - Percentage",Without Hepatitis B - Percentage,Without Varicella - Percentage,Children 5-17 in poverty - Percentage,Free/Reduced Price Meal Count K-12  - Percentage,Families with income below poverty level - Percentage,Enrolled students,Up to date with vaccinations,Conditional vaccination status,Permanent Medical Exemption,Personal Belief Exemption,"Diphtheria, Tetanus, Pertussis",Polio,"Measles, Mumps, Rubella",Hepatitis B,Varicella,Schools who reported (%),Total Schools,Coordinates,School District ID,Schools
Lemon Grove,Lemon Grove,San Diego County,,97%,2%,0%,2%,3%,2%,3%,2%,2%,28%,60%,12%,458,442,7,2,7,444,447,445,448,448,100%,6,"32.735087,-117.036671",621330,"Lemon Grove Academy For The Sciences And Humanities,Monterey Heights Elementary,Mt. Vernon Elementary,San Altos Elementary,San Miguel Elementary,Vista La Mesa Academy"
La Mesa-Spring Valley,Spring Valley,San Diego County,,92%,5%,0%,3%,7%,7%,7%,4%,4%,19%,50%,8%,1540,1410,81,3,46,1436,1439,1428,1473,1482,100%,17,"32.748758,-116.995833",620250,"Avondale Elementary,Bancroft Elementary,Casa De Oro Elementary,Fletcher Hills Elementary,Highlands Elementary,Kempton Street Elementary,La Mesa Dale Elementary,La Presa Elementary,Lemon Avenue Elementary,Maryland Avenue Elementary,Murray Manor Elementary,Northmont Elementary,Rancho Elementary,Rolando Elementary,Murdock Elementary,Loma Elementary,Sweetwater Springs Elementary"
Mountain Empire Unified,Vista,San Diego County,,66%,13%,0%,20%,32%,30%,32%,22%,21%,30%,44%,14%,281,186,37,1,57,191,198,191,219,221,100%,6,"32.750333,-116.39144",626100,"Mountain Peak Charter,Academy Of Arts And Sciences: El Cajon Elementary (K-5),Campo Elementary,Descanso Elementary,Clover Flat Elementary,Potrero Elementary"
Imperial County Office of Education,El Centro,Imperial County,,76%,19%,0%,5%,19%,19%,19%,10%,5%,,66%,,21,16,4,0,1,17,17,17,19,20,100%,1,"32.752336,-115.564431",691010,Imperial County Special Education
San Diego Unified,La Mesa,San Diego County,,90%,6%,0%,3%,8%,8%,8%,6%,5%,24%,48%,12%,11691,10557,722,36,376,10794,10813,10766,11024,11092,100%,142,"32.773504,-117.1881",634320,"Learning Choice Academy,Golden Hill K-8,Porter Elementary,Cherokee Point Elementary,Ibarra Elementary,Iftin Charter,Normal Heights Elementary,Rodriguez Elementary,Joyner Elementary,Urban Discovery Academy Charter,Innovations Academy,Pacific American Academy,Evangeline Roberts Institute Of Learning,San Diego Global Vision Academy,Old Town Academy K-8 Charter,America'S Finest Charter,Epiphany Prep Charter School,Kavod Elementary Charter,San Diego Cooperative Charter School 2,John Muir,Mt. Everest Academy,Adams Elementary,Alcott Elementary,Angier Elementary,Audubon K-8,Baker Elementary,Balboa Elementary,Barnard Elementary,Bay Park Elementary,Bird Rock Elementary,Birney Elementary,Boone Elementary,Burbank Elementary,Cabrillo Elementary,Cadman Elementary,Carson Elementary,Carver Elementary,Central Elementary,Chesterton Elementary,Chollas/Mead Elementary,Clay Elementary,Crown Point Elementary,Cubberley Elementary,Curie Elementary,Darnall Charter,Dewey Elementary,Edison Elementary,Emerson/Bandini Elementary,Encanto Elementary,Euclid Elementary,Field Elementary,Fletcher Elementary,Florence Elementary,Foster Elementary,Franklin Elementary,Freese Elementary,Fulton K-8,Gage Elementary,Garfield Elementary,Grant K-8,Green Elementary,Hamilton Elementary,Hardy Elementary,Hawthorne Elementary,Hearst Elementary,Holmes Elementary,Horton Elementary,Fay Elementary,Jefferson Elementary,Johnson Elementary,Jones Elementary,Juarez Elementary,Keiller Leadership Academy,La Jolla Elementary,Lafayette Elementary,Lee Elementary,Linda Vista Elementary,Lindbergh/Schweitzer Elementary,Logan K-8,Loma Portal Elementary,Longfellow K-8,Perkins K-8,Marshall Elementary,Marvin Elementary,Mckinley Elementary,Language Academy,Harriet Tubman Village Charter,Oak Park Elementary,Ocean Beach Elementary,Pacific Beach Elementary,Paradise Hills Elementary,Perry Elementary,Rolando Park Elementary,Ross Elementary,Rowan Elementary,Sequoia Elementary,Sessions Elementary,Sherman Elementary,Silver Gate Elementary,Spreckels Elementary,King-Chavez Primary Academy,Sunset View Elementary,Toler Elementary,Torrey Pines Elementary,Valencia Park Elementary,Washington Elementary,Webster Elementary,Wegeforth Elementary,Benchley/Weinberger Elementary,Whitman Elementary,The O'Farrell Charter,Miramar Ranch Elementary,Mason Elementary,Penn Elementary,Ericson Elementary,Hickman Elementary,Sandburg Elementary,Tierrasanta Elementary,Walker Elementary,Miller Elementary,Hancock Elementary,Dailard Elementary,Doyle Elementary,Jerabek Elementary,Vista Grande Elementary,Bethune K-8,Zamorano Elementary,Hage Elementary,Kumeyaay Elementary,Nye Elementary,Dingeman Elementary,Mcgill School Of Success,Kimbrough Elementary,Chavez Elementary,Rosa Parks Elementary,Museum,Holly Drive Leadership Academy,Explorer Elementary,Scripps Elementary,San Diego Cooperative Charter,King-Chavez Academy Of Excellence,Einstein Academy"
Seeley Union Elementary,Seeley,Imperial County,,87%,11%,0%,2%,10%,10%,13%,2%,3%,22%,70%,13%,61,53,7,0,1,55,55,53,60,59,100%,1,"32.778145,-115.666834",636210,Seeley Elementary
Dehesa Elementary,Alpine,San Diego County,,57%,0%,0%,43%,43%,43%,43%,43%,43%,11%,14%,0%,189,107,0,0,82,107,107,107,107,107,100%,4,"32.779465,-116.832604",610710,"The Heights Charter,Community Montessori Charter,Dehesa Elementary,Dehesa Charter"
Cajon Valley Union,El Cajon,San Diego County,,92%,5%,0%,2%,6%,5%,4%,4%,3%,29%,58%,15%,1880,1733,103,4,40,1766,1778,1799,1805,1832,100%,20,"32.789119,-116.904593",606810,"Eje Elementary Academy Charter,Anza Elementary,Bostonia Elementary,Chase Avenue Elementary,Crest Elementary,Flying Hills Elementary,Fuerte Elementary,Johnson Elementary,Lexington Elementary,Madison Avenue Elementary,Magnolia Elementary,Meridian Elementary,Naranca Elementary,Rios Elementary,W. D. Hall Elementary,Avocado Elementary,Vista Grande Elementary,Rancho San Diego Elementary,Jamacha Elementary,Blossom Valley Elementary"
Meadows Union Elementary,El Centro,Imperial County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,39%,71%,23%,48,48,0,0,0,48,48,48,48,48,100%,1,"32.789667,-115.499423",624390,Meadows Elementary
El Centro Elementary,El Centro,Imperial County,,97%,2%,0%,2%,3%,3%,3%,2%,2%,39%,66%,26%,669,646,11,1,11,649,650,647,655,656,100%,12,"32.796211,-115.562539",612030,"Ballington Academy For The Arts And Sciences,Imagine Schools At Imperial Valley,Imperial Valley Home School Academy,De Anza Magnet,Desert Garden Elementary,Harding Elementary,Lincoln Elementary,Margaret Hedrick Elementary,Mckinley Elementary,Washington Elementary,Martin Luther King Jr. Elementary,Sunflower Elementary"
Imperial Unified,Imperial,Imperial County,,96%,4%,0%,0%,2%,2%,2%,0%,0%,18%,40%,13%,321,309,12,0,0,313,316,315,321,321,100%,2,"32.810304,-115.825516",618210,"Ben Hulse Elementary,T. L. Waggoner Elementary"
Alpine Union Elementary,Alpine,San Diego County,,26%,69%,0%,5%,26%,26%,26%,9%,10%,9%,28%,5%,184,47,127,0,10,136,137,136,168,166,100%,1,"32.825968,-116.701963",602100,Creekside Early Learning Center
Santee,Santee,San Diego County,,96%,1%,0%,3%,4%,4%,4%,4%,4%,11%,33%,7%,696,665,7,1,23,666,667,666,671,671,100%,9,"32.857375,-116.998194",635880,"Cajon Park Elementary,Carlton Hills Elementary,Chet F. Harritt Elementary,Pepper Drive Elementary,Pride Academy At Prospect Avenue,Sycamore Canyon Elementary,Carlton Oaks Elementary,Rio Seco Elementary,Hill Creek Elementary"
Holtville Unified,Holtville,Imperial County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,27%,69%,19%,106,106,0,0,0,106,106,106,106,106,100%,2,"32.882638,-115.206735",617430,"Emmett S. Finley Elementary,Pine Elementary"
Del Mar Union Elementary,San Diego,San Diego County,,95%,1%,0%,3%,4%,4%,4%,4%,3%,6%,4%,5%,559,532,8,0,19,535,536,536,538,540,100%,8,"32.948267,-117.254919",610740,"Sycamore Ridge,Ocean Air,Del Mar Heights Elementary,Del Mar Hills Elementary,Carmel Del Mar Elementary,Ashley Falls Elementary,Sage Canyon,Torrey Hills"
Poway Unified,San Diego,San Diego County,,93%,4%,0%,3%,5%,5%,5%,5%,4%,7%,12%,3%,2931,2725,103,8,95,2787,2793,2782,2794,2807,100%,25,"32.982639,-117.059193",631530,"Stone Ranch Elementary,Monterey Ridge Elementary,Del Sur Elementary,Willow Grove Elementary,Garden Road Elementary,Midland Elementary,Pomerado Elementary,Valley Elementary,Los Penasquitos Elementary,Westwood Elementary,Painted Rock Elementary,Sunset Hills Elementary,Tierra Bonita Elementary,Rolling Hills Elementary,Chaparral Elementary,Sundance Elementary,Canyon View Elementary,Deer Canyon Elementary,Morning Creek Elementary,Turtleback Elementary,Adobe Bluffs Elementary,Highland Ranch Elementary,Park Village Elementary,Shoal Creek Elementary,Creekside Elementary"
Solana Beach Elementary,Solana Beach,San Diego County,,93%,1%,0%,6%,6%,6%,6%,7%,6%,7%,7%,4%,411,382,6,0,23,387,388,386,384,388,100%,5,"32.990799,-117.235271",636990,"Skyline Elementary,Solana Vista Elementary,Solana Highlands Elementary,Solana Santa Fe Elementary,Carmel Creek Elementary"
Brawley Elementary,Brawley,Imperial County,,97%,2%,0%,0%,2%,2%,2%,1%,1%,31%,65%,21%,463,451,11,0,1,453,456,455,459,459,100%,4,"32.994827,-115.554822",605790,"Miguel Hidalgo Elementary,J. W. Oakley Elementary,Myron D. Witter Elementary,Phil D. Swing Elementary"
Westmorland Union Elementary,Westmorland,Imperial County,,88%,12%,0%,0%,12%,9%,9%,0%,0%,32%,88%,21%,43,38,5,0,0,38,39,39,43,43,100%,1,"33.017139,-115.849974",642180,Westmorland Elementary
Ramona City Unified,Ramona,San Diego County,,87%,7%,0%,5%,10%,10%,10%,7%,6%,12%,37%,6%,427,373,30,1,23,385,383,385,398,403,100%,6,"33.031416,-116.835839",631710,"Hanson Elementary,Ramona Elementary,James Dukes Elementary,Ramona Community,Mt. Woodson Elementary,Barnett Elementary"
Cardiff Elementary,Cardiff-By-The-Sea,San Diego County,,78%,4%,0%,17%,20%,20%,18%,17%,17%,11%,9%,5%,92,72,4,0,16,74,74,75,76,76,100%,1,"33.034264,-117.292301",607470,Cardiff Elementary
Rancho Santa Fe Elementary,Rancho Santa Fe,San Diego County,,76%,4%,0%,20%,22%,22%,20%,20%,20%,8%,0%,11%,54,41,2,0,11,42,42,43,43,43,100%,1,"33.040958,-117.199791",631740,R. Roger Rowe Elementary
Julian Union Elementary,Julian,San Diego County,,51%,16%,1%,32%,44%,44%,45%,37%,35%,15%,25%,8%,193,99,31,1,62,108,108,107,122,126,100%,3,"33.047023,-116.459073",619140,"Harbor Springs Charter,Julian Charter,Julian Elementary"
San Pasqual Valley Unified,Winterhaven,Imperial County,,78%,20%,0%,1%,17%,17%,18%,2%,6%,39%,93%,28%,83,65,17,0,1,69,69,68,81,78,100%,1,"33.056997,-114.863216",635070,San Pasqual Valley Elementary
Encinitas Union Elementary,Encinitas,San Diego County,,82%,6%,0%,11%,15%,16%,17%,12%,12%,14%,10%,8%,742,610,48,2,82,627,626,617,653,653,100%,9,"33.060669,-117.282153",612750,"Paul Ecke-Central Elementary,Ocean Knoll Elementary,Capri Elementary,Park Dale Lane Elementary,Flora Vista Elementary,La Costa Heights Elementary,Mission Estancia Elementary,Olivenhain Pioneer Elementary,El Camino Creek Elementary"
San Pasqual Union Elementary,Escondido,San Diego County,,88%,4%,0%,8%,13%,13%,13%,10%,8%,9%,16%,6%,48,42,2,0,4,42,42,42,43,44,100%,1,"33.089385,-116.985353",635040,San Pasqual Union Elementary
Spencer Valley Elementary,Simi Valley,San Diego County,,63%,0%,0%,37%,37%,37%,37%,37%,37%,23%,39%,5%,171,107,0,0,64,107,107,107,107,107,100%,1,"33.108788,-116.648321",637680,California Virtual Academy @ San Diego
Carlsbad Unified,Carlsbad,San Diego County,,89%,3%,0%,8%,9%,9%,10%,9%,8%,13%,16%,8%,650,577,20,1,52,591,592,586,590,595,100%,9,"33.131794,-117.324412",607500,"Poinsettia Elementary,Buena Vista Elementary,Jefferson Elementary,Magnolia Elementary,Kelly Elementary,Hope Elementary,Aviara Oaks Elementary,Pacific Rim Elementary,Calavera Hills Elementary"
Escondido Union,Escondido,San Diego County,,93%,3%,0%,4%,6%,6%,6%,5%,5%,23%,58%,12%,2312,2147,64,3,98,2168,2170,2173,2197,2206,100%,19,"33.133831,-117.085696",612880,"Heritage K-8 Charter,Farr Avenue Elementary,Reidy Creek Elementary,Bernardo Elementary,Central Elementary,Conway Elementary,Felicita Elementary,Juniper Elementary,Lincoln Elementary,Oak Hill Elementary,Rose Elementary,Glen View Elementary,Orange Glen Elementary,Miller Elementary,North Broadway Elementary,L. R. Green Elementary,Pioneer Elementary,Rock Springs Elementary,Classical Academy"
San Diego County Office of Education,Chula Vista,San Diego County,,92%,3%,0%,5%,7%,7%,7%,6%,6%,,41%,,187,172,6,0,9,173,174,174,175,175,100%,3,"33.142268,-117.165059",691030,"Davila Day,Monarch,Literacy First Charter"
San Marcos Unified,San Marcos,San Diego County,,92%,2%,0%,6%,7%,8%,8%,6%,6%,15%,38%,11%,1693,1552,42,0,99,1575,1566,1563,1585,1588,100%,11,"33.143668,-117.179693",634880,"San Elijo Elementary,Joli Ann Leichtag Elementary,Alvin M. Dunn Elementary,Richland Elementary,San Marcos Elementary,La Costa Meadows Elementary,Knob Hill Elementary,Paloma Elementary,Discovery Elementary,Twin Oaks Elementary,Carrillo Elementary"
Magnolia Union Elementary,Brawley,Imperial County,,94%,6%,0%,0%,6%,0%,0%,0%,0%,24%,17%,0%,16,15,1,0,0,15,16,16,16,16,100%,1,"33.169835,-115.316687",623460,Magnolia Elementary
Vista Unified,Oceanside,San Diego County,,92%,4%,1%,3%,7%,7%,7%,5%,4%,20%,56%,10%,1932,1783,69,15,65,1795,1796,1799,1841,1847,100%,19,"33.202822,-117.23959",641190,"Temple Heights Elementary,Hannalei Elementary,Foothill Oak Elementary,Maryland Elementary,Bella Mente Montessori Academy,Guajome Park Academy Charter,Beaumont Elementary,Bobier Elementary,California Avenue Elementary,Grapevine Elementary,Monte Vista Elementary,Olive Elementary,Vista Academy Of Visual And Performing Arts,Casita Center For Science/Math/Technology,Alamosa Park Elementary,Lake Elementary,Empresa Elementary,Breeze Hill Elementary,Mission Meadows Elementary"
Oceanside Unified,Oceanside,San Diego County,,90%,5%,0%,5%,9%,8%,9%,8%,7%,21%,47%,10%,1991,1790,101,3,97,1812,1823,1811,1837,1845,100%,17,"33.230884,-117.37626",628250,"Coastal Academy,Louise Foussat Elementary,Laurel Elementary,Libby Elementary,Mission Elementary,North Terrace Elementary,Palmquist Elementary,San Luis Rey Elementary,Santa Margarita Elementary,South Oceanside Elementary,E. G. Garrison Elementary,Del Rio Elementary,Reynolds Elementary,Christa Mcauliffe Elementary,Ivey Ranch Elementary,Stuart Mesa Elementary,Nichols Elementary"
Borrego Springs Unified,Borrego Springs,San Diego County,,97%,0%,3%,0%,3%,3%,3%,3%,3%,26%,77%,13%,34,33,0,1,0,33,33,33,33,33,100%,1,"33.256052,-116.217249",605700,Borrego Springs Elementary
Warner Unified,Warner Springs,San Diego County,,24%,76%,0%,0%,47%,47%,53%,12%,0%,7%,76%,12%,17,4,13,0,0,9,9,8,15,17,100%,1,"33.27701,-116.571836",600042,Warner Elementary
Valley Center-Pauma Unified,Valley Center,San Diego County,,83%,4%,0%,13%,16%,17%,14%,14%,14%,13%,47%,5%,359,298,13,0,48,303,299,307,307,309,100%,3,"33.27726,-116.939232",600069,"Lilac,Pauma Elementary,Valley Center Primary"
Calipatria Unified,Niland,Imperial County,,97%,3%,0%,0%,1%,1%,2%,2%,1%,36%,77%,21%,108,105,3,0,0,107,107,106,106,107,100%,2,"33.28193,-115.560564",606990,"Grace Smith Elementary,Fremont Primary"
Bonsall Union Elementary,Oceanside,San Diego County,,92%,3%,0%,5%,7%,7%,7%,6%,6%,13%,30%,5%,335,309,9,1,16,313,313,310,316,314,100%,3,"33.30889,-117.157562",605670,"Bonsall West Elementary,Bonsall Elementary,Vivian Banks Charter"
Long Beach Unified,Long Beach,Los Angeles County,,90%,9%,0%,1%,5%,7%,7%,4%,3%,27%,62%,15%,5317,4766,472,1,78,5039,4950,4936,5112,5156,82%,56,"33.367336,-118.480709",622500,"Chavez Elementary,Dooley Elementary,Avalon K-12,Addams Elementary,Barton Elementary,Birney Elementary,Bixby Elementary,Bryant Elementary,Burbank Elementary,Burcham K-8,Burnett Elementary,Carver Elementary,Cleveland Elementary,Cubberley K-8,Edison Elementary,Emerson Parkside Academy Charter,Fremont Elementary,Gant Elementary,Garfield Elementary,Gompers K-8,Grant Elementary,Harte Elementary,Henry K-8,Holmes Elementary,Hudson K-8,Kettering Elementary,King Elementary,Lafayette Elementary,Lee Elementary,Lincoln Elementary,Longfellow Elementary,Los Cerritos Elementary,Lowell Elementary,Macarthur Elementary,Madison Elementary,Mann Elementary,Mckinley Elementary,Muir K-8,Naples Elementary,Newcomb Academy,Prisk Elementary,Riley Elementary,Roosevelt Elementary,Signal Hill Elementary,Stevenson Elementary,Tincher Preparatory,Twain Elementary,Webster Elementary,Whittier Elementary,Willard Elementary,International Elementary,Alvarado Elementary,Robinson Academy,Powell Academy For Success,New City,Burroughs Elementary"
Fallbrook Union Elementary,Fallbrook,San Diego County,,91%,4%,1%,5%,8%,7%,8%,7%,6%,25%,45%,11%,765,694,32,4,35,703,713,701,710,716,100%,7,"33.380238,-117.3901",613500,"La Paloma Elementary,Fallbrook Street Elementary,Mary Fay Pendleton Elementary,San Onofre Elementary,Iowa Street,Live Oak Elementary,William H. Frazier Elementary"
Vallecitos Elementary,Rainbow,San Diego County,,84%,16%,0%,0%,13%,0%,13%,0%,0%,31%,75%,9%,31,26,5,0,0,27,31,27,31,31,100%,1,"33.404579,-117.140711",640710,Vallecitos Elementary
Capistrano Unified,Aliso Viejo,Orange County,,72%,17%,1%,9%,22%,20%,22%,15%,12%,9%,20%,4%,3658,2642,637,32,347,2866,2910,2843,3106,3204,100%,39,"33.505002,-117.625816",607440,"Canyon Vista Elementary,Vista Del Mar Elementary,Ladera Ranch Elementary,Capistrano Connections Academy Charter,Oso Grande Elementary,Community Roots Academy,Oxford Preparatory Academy - South Orange County,Concordia Elementary,Crown Valley Elementary,Las Palmas Elementary,Palisades Elementary,Richard Henry Dana Elementary,San Juan Elementary,Viejo Elementary,Castille Elementary,Del Obispo Elementary,Moulton Elementary,Harold Ambuehl Elementary,Carl Hankey Elementary,Marian Bergeson Elementary,Truman Benedict Elementary,George White Elementary,Philip J. Reilly Elementary/Special Education,Arroyo Vista Elementary,Bathgate Elementary,Hidden Hills Elementary,Clarence Lobo Elementary,John Malcom Elementary,Wood Canyon Elementary,Oak Grove Elementary,Las Flores Elementary,Wagon Wheel Elementary,Don Juan Avila Elementary,Kinoshita Elementary,Tijeras Creek Elementary,Journey,Chaparral Elementary,Marblehead Elementary,Laguna Niguel Elementary"
Temecula Valley Unified,Winchester,Riverside County,,90%,3%,0%,7%,9%,8%,8%,8%,7%,10%,18%,5%,1968,1780,50,2,136,1798,1813,1803,1811,1824,100%,19,"33.519916,-117.050973",600028,"French Valley Elementary,Alamos Elementary,Crowne Hill Elementary,Susan La Vorgna Elementary,Tony Tobin Elementary,Temecula Luiseno Elementary,Temecula Preparatory,Vail Elementary,Rancho Elementary,Temecula Elementary,Nicolas Valley Elementary,Red Hawk Elementary,Temecula Valley Charter,Paloma Elementary,Pauba Valley Elementary,Vintage Hills Elementary,Helen Hunt Jackson Elementary,Abby Reinke Elementary,Ysabel Barnett Elementary"
Murrieta Valley Unified,Murrieta,Riverside County,,91%,2%,1%,6%,8%,8%,8%,7%,7%,12%,26%,6%,1513,1380,28,12,93,1389,1396,1389,1402,1405,100%,11,"33.537698,-117.288292",600029,"Monte Vista Elementary,Antelope Hills Elementary,Lisa J. Mails Elementary,Murrieta Elementary,Avaxat Elementary,Alta Murrieta Elementary,E. Hale Curran Elementary,Rail Ranch Elementary,Tovashal Elementary,Cole Canyon Elementary,Daniel N. Buchanan Elementary"
Laguna Beach Unified,Laguna Beach,Orange County,,73%,12%,0%,15%,19%,21%,21%,21%,16%,9%,8%,4%,146,107,17,0,22,118,116,116,116,122,100%,2,"33.546508,-117.801358",620370,"El Morro Elementary,Top Of The World Elementary"
Coachella Valley Unified,Thermal,Riverside County,,99%,1%,0%,0%,1%,1%,1%,0%,0%,41%,81%,25%,1595,1573,18,0,4,1577,1587,1583,1589,1590,100%,14,"33.558485,-115.841445",609070,"Las Palmitas Elementary,Coral Mountain Academy,Valle Del Sol Elementary,Palm View Elementary,Peter Pendleton Elementary,Valley View Elementary,Mecca Elementary,Oasis Elementary,Sea View Elementary,John Kelley Elementary,Westside Elementary,Cesar Chavez Elementary,Saul Martinez Elementary,Mountain Vista Elementary"
Hemet Unified,Hemet,Riverside County,,95%,3%,0%,2%,4%,3%,3%,3%,2%,27%,71%,15%,1573,1490,49,3,31,1503,1524,1520,1524,1537,100%,14,"33.605574,-116.781865",616920,"Mcsweeny Elementary,Harmony Elementary,Cawston Elementary,Hamilton Elementary,Cottonwood Elementary,Idyllwild,Little Lake Elementary,Ramona Elementary,Whittier Elementary,Winchester Elementary,Valle Vista Elementary,Fruitvale Elementary,Bautista Creek Elementary,Jacob Wiens Elementary"
Newport-Mesa Unified,Corona Del Mar,Orange County,,85%,9%,0%,6%,12%,11%,12%,8%,7%,16%,39%,8%,1706,1458,150,2,96,1502,1525,1496,1570,1585,100%,21,"33.607612,-117.897005",627240,"Abraham Lincoln Elementary,Adams Elementary,California Elementary,College Park Elementary,Everett A. Rea Elementary,Harbor View Elementary,Killybrooke Elementary,Mariners Elementary,Maude B. Davis Elementary,Newport Elementary,Newport Heights Elementary,Paularino Elementary,Pomona Elementary,Sonora Elementary,Victoria Elementary,Whittier Elementary,Wilson Elementary,Eastbluff Elementary,Roy O. Andersen Elementary,Woodland Elementary,Newport Coast Elementary"
Saddleback Valley Unified,Mission Viejo,Orange County,,83%,11%,1%,6%,15%,14%,14%,9%,8%,9%,26%,4%,2103,1735,230,12,126,1787,1813,1816,1912,1934,100%,23,"33.646302,-117.583955",633860,"Linda Vista Elementary,Olivewood Elementary,Ralph A. Gates Elementary,Trabuco Elementary,Valencia Elementary,Cordillera Elementary,Del Cerro Elementary,De Portola Elementary,Santiago Elementary,Montevideo Elementary,Glen Yermo Elementary,Lomarena Elementary,San Joaquin Elementary,Rancho Canada Elementary,La Madera Elementary,Del Lago Elementary,Trabuco Mesa Elementary,Cielo Vista Elementary,Lake Forest Elementary,Portola Hills Elementary,Robinson Elementary,Foothill Ranch Elementary,Melinda Heights Elementary"
Menifee Union Elementary,Menifee,Riverside County,,94%,1%,0%,4%,5%,5%,5%,5%,5%,15%,31%,7%,1208,1141,13,0,54,1150,1152,1149,1147,1153,100%,10,"33.66597,-117.173016",624540,"Freedom Crest Elementary,Oak Meadows Elementary,Santa Rosa Academy,Evans Ranch Elementary,Southshore Elementary,Quail Valley Elementary,Herk Bouris Elementary,Chester W. Morrison Elementary,Callie Kirkpatrick Elementary,Ridgemoor Elementary"
Huntington Beach City Elementary,Huntington Beach,Orange County,,85%,8%,0%,7%,14%,12%,13%,11%,10%,8%,15%,4%,673,572,54,3,44,578,591,585,602,608,100%,7,"33.673571,-118.025032",618030,"Agnes L. Smith Elementary,John H. Eader Elementary,John R. Peterson Elementary,Joseph R. Perry Elementary,Ralph E. Hawes Elementary,S. A. Moffett Elementary,Huntington Seacliff Elementary"
Orange County Department of Education,Costa Mesa,Orange County,,83%,6%,0%,11%,15%,14%,17%,12%,12%,,16%,,101,84,6,0,11,86,87,84,89,89,100%,2,"33.673633,-117.880929",691024,"Occs:Chep/Pchs,Orange County Special Education"
Lake Elsinore Unified,Wildomar,Riverside County,,94%,2%,0%,3%,6%,5%,5%,5%,4%,20%,51%,10%,1791,1681,43,7,60,1692,1703,1694,1710,1715,100%,15,"33.675073,-117.346283",600027,"Ronald Reagan Elementary,Earl Warren Elementary,Sycamore Academy Of Science And Cultural Arts,Lakeland Village,Elsinore Elementary,Machado Elementary,Wildomar Elementary,Railroad Canyon Elementary,Withrow Elementary,Luiseno,Tuscany Hills Elementary,Donald Graham Elementary,William Collier Elementary,Rice Canyon Elementary,Cottonwood Canyon Elementary"
Irvine Unified,Irvine,Orange County,,85%,10%,0%,5%,11%,10%,11%,7%,6%,9%,10%,6%,2205,1865,224,9,107,1956,1984,1967,2046,2071,100%,22,"33.678399,-117.771254",684500,"University Park Elementary,Turtle Rock Elementary,Woodbury Elementary,Culverdale Elementary,College Park Elementary,Greentree Elementary,Vista Verde,Deerfield Elementary,Stonegate Elementary,Stone Creek Elementary,Bonita Canyon Elementary,Santiago Hills Elementary,Eastshore Elementary,Alderwood Elementary,Northwood Elementary,Brywood Elementary,Meadow Park,Springbrook Elementary,Westpark Elementary,Canyon View Elementary,Plaza Vista,Oak Creek Elementary"
Fountain Valley Elementary,Fountain Valley,Orange County,,92%,4%,0%,4%,6%,5%,6%,5%,4%,9%,16%,4%,664,614,25,1,24,623,628,624,632,638,100%,7,"33.695796,-117.960097",614220,"Tamura (Hisamatsu) Elementary,Gisler (Robert) Elementary,Newland (William T.) Elementary,Cox (James H.) Elementary,Oka (Isojiro) Elementary,Plavan (Urbain H.) Elementary,Courreges (Roch) Elementary"
Ocean View,Huntington Beach,Orange County,,92%,3%,1%,4%,7%,7%,7%,5%,5%,15%,44%,7%,1405,1297,45,12,51,1307,1311,1302,1336,1337,100%,14,"33.718386,-118.017803",628140,"Circle View Elementary,College View Elementary,Harbour View Elementary,Hope View Elementary,Lake View Elementary,Oak View Elementary,Star View Elementary,Sun View Elementary,Village View Elementary,Westmont Elementary,Laguna Vista Elementary,Mar Vista Elementary,Tierra Vista Elementary,Golden View Elementary"
Santa Ana Unified,Santa Ana,Orange County,,94%,6%,0%,0%,4%,4%,4%,1%,1%,29%,82%,18%,5058,4764,285,1,8,4837,4866,4846,4995,5000,100%,38,"33.721148,-117.875452",635310,"Edward B. Cole Academy,Manuel Esqueda Elementary,Orange County Educational Arts Academy,Heroes Elementary,Adams Elementary,Andrew Jackson Elementary,Carl Harvey Elementary,Diamond Elementary,Thomas A. Edison Elementary,Fremont Elementary,Hoover Elementary,Jefferson Elementary,Abraham Lincoln Elementary,Lowell Elementary,Madison Elementary,Martin Elementary,Monroe Elementary,Monte Vista Elementary,Theodore Roosevelt Elementary,Santiago Elementary,Washington Elementary,Wilson Elementary,Taft Elementary,Franklin Elementary,John Muir Fundamental Elementary,Greenville Fundamental Elementary,Frederick Remington Elementary,Jose Sepulveda Elementary,John F. Kennedy Elementary,Garfield Elementary,Pio Pico Elementary,George Washington Carver Elementary,Martin R. Heninger Elementary,Walker Elementary,Martin Luther King Jr. Elementary,Wallace R. Davis Elementary,Jim Thorpe Fundamental,El Sol Santa Ana Science And Arts Academy"
