School District Name,City,County,,Up to date with vaccinations - Percentage,Conditional vaccination status - Percentage,Permanent Medical Exemption - Percentage,Personal Belief Exemption - Percentage,"Without Diphtheria, Tetanus, Pertussis - Percentage",Without Polio - Percentage,"Without Measles, Mumps, Rubella - Percentage",Without Hepatitis B - Percentage,Without Varicella - Percentage,Children 5-17 in poverty - Percentage,Free/Reduced Price Meal Count K-12  - Percentage,Families with income below poverty level - Percentage,Enrolled students,Up to date with vaccinations,Conditional vaccination status,Permanent Medical Exemption,Personal Belief Exemption,"Diphtheria, Tetanus, Pertussis",Polio,"Measles, Mumps, Rubella",Hepatitis B,Varicella,Schools who reported (%),Total Schools,Coordinates,School District ID,Schools
Orange Center,Simi Valley,Fresno County,,84%,0%,0%,16%,16%,16%,16%,16%,16%,51%,59%,35%,86,72,0,0,14,72,72,72,72,72,100%,2,"36.675329,-119.780522",628530,"California Virtual Academy @ Fresno,Orange Center Elementary"
Salinas City Elementary,Salinas,Monterey County,,92%,8%,0%,0%,7%,6%,6%,2%,3%,33%,70%,16%,1406,1292,108,0,6,1307,1317,1319,1375,1365,100%,13,"36.678859,-121.648865",633930,"Boronda Meadows,El Gabilan Elementary,Henry F. Kammann Elementary,Lincoln Elementary,Loma Vista Elementary,Los Padres Elementary,Mission Park Elementary,Monterey Park Elementary,Natividad Elementary,Roosevelt Elementary,Sherwood Elementary,University Park Elementary,Laurel Wood Elementary"
West Park Elementary,Fresno,Fresno County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,52%,85%,22%,38,38,0,0,0,38,38,38,38,38,100%,1,"36.687422,-119.869274",642060,West Park Elementary
Kerman Unified,Kerman,Fresno County,,99%,1%,0%,0%,1%,1%,0%,0%,0%,36%,79%,24%,383,378,5,0,0,379,379,383,382,383,100%,3,"36.723813,-120.091978",619490,"Goldenrod Elementary,Sun Empire Elementary,Liberty Elementary"
Kings Canyon Joint Unified,Orange Cove,Fresno County,,98%,1%,0%,1%,1%,1%,1%,1%,1%,41%,70%,22%,830,815,10,0,5,818,820,820,823,825,100%,12,"36.738343,-119.039842",619700,"A. L. Conner Elementary,Thomas Law Reed Elementary,Silas Bartsch,Alta Elementary,Dunlap Elementary,Jefferson Elementary,Mccord Elementary,Lincoln Elementary,Riverview Elementary,Sheridan Elementary,Washington Elementary,Great Western Elementary"
Santa Rita Union Elementary,Salinas,Monterey County,,92%,7%,0%,0%,5%,6%,2%,3%,1%,26%,63%,15%,340,313,25,1,1,323,321,332,329,335,100%,4,"36.750817,-121.59294",635790,"New Republic Elementary,La Joya Elementary,Santa Rita Elementary,Mckinnon"
Sanger Unified,Sanger,Fresno County,,95%,2%,0%,2%,4%,4%,4%,3%,3%,29%,63%,15%,963,918,18,3,24,922,924,927,930,934,100%,15,"36.759724,-119.515934",635250,"Hallmark Charter,Ronald W. Reagan Elementary,Sequoia Elementary,Centerville Elementary,Del Rey Elementary,Fairmont Elementary,Jackson Elementary,Jefferson Elementary,John S. Wash Elementary,Lincoln Elementary,Lone Star Elementary,Madison Elementary,Wilson Elementary,Quail Lake Environmental Charter,Sanger Academy Charter"
Central Unified,Fresno,Fresno County,,97%,2%,0%,1%,2%,2%,2%,2%,1%,28%,64%,13%,1295,1257,21,1,16,1267,1271,1267,1273,1277,100%,13,"36.771539,-119.92971",607970,"James K. Polk Elementary,Harvest Elementary,Biola-Pershing Elementary,Herndon-Barstow Elementary,Houghton-Kearney Elementary,Madison Elementary,Mckinley Elementary,Roosevelt Elementary,Teague Elementary,William Saroyan Elementary,John Steinbeck Elementary,Norman Liddell Elementary,River Bluff Elementary"
Southside Elementary,Hollister,San Benito County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,12%,25%,2%,19,19,0,0,0,19,19,19,19,19,100%,1,"36.772615,-121.343123",637650,Southside Elementary
Fresno Unified,Fresno,Fresno County,,92%,7%,0%,1%,7%,7%,6%,5%,4%,47%,75%,27%,6866,6297,491,3,75,6375,6416,6432,6528,6563,100%,68,"36.774538,-119.782665",614550,"Valley Preparatory Academy Charter,Molly S. Bakman Elementary,Akira Yokomi Elementary,Valley Arts And Science Academy (Vasa),Deborah A. Williams Elementary,Mario G. Olmos Elementary,Vang Pao Elementary,Morris E. Dailey Charter Elementary,Kepler Neighborhood,Addams Elementary,Aynesworth Elementary,Birney Elementary,Bullard Talent Project,Burroughs Elementary,Calwa Elementary,Centennial Elementary,Columbia Elementary,Del Mar Elementary,Easterby Elementary,Ericson Elementary,Ewing Elementary,Figarden Elementary,Fremont Elementary,Fusd Gibson Elementary,Heaton Elementary,Holland Elementary,Homan Elementary,Jackson Elementary,Jefferson Elementary,Kirk Elementary,Kratt Elementary,Lane Elementary,Lincoln Elementary,Lowell Elementary,Fusd Malloch Elementary,Mayfair Elementary,Muir Elementary,Norseman Elementary,Powers-Ginsburg Elementary,Pyle Elementary,Robinson Elementary,Roeding Elementary,Rowell Elementary,Thomas Elementary,Turner Elementary,Viking Elementary,Vinland Elementary,Webster Elementary,Wilson Elementary,Winchell Elementary,Wishon Elementary,Wolters Elementary,Eaton Elementary,Mccardle Elementary,Slater Elementary,King Elementary,Fusd Starr Elementary,Sunset Elementary,Ayer Elementary,Fusd Forkner Elementary,Lawless Elementary,Miguel Hidalgo Elementary,Ezekiel Balderas Elementary,Susan B. Anthony Elementary,Edith B. Storey Elementary,Ann B. Leavenworth,David L. Greenberg Elementary,Hamilton Elementary"
