Titanic passager,Status,Disembarked at,Home Country,Age,Year of Birth,Crew or Passenger?,Gender,Class / Department,Embarked,Job,Job details,Ticket Number,Fare Price,Profile on Encyclopedia Titanica
"LYTLE, Mr Thomas",,Southampton,,31,1881,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/thomas-lytle.html
"MANN, Mr Samuel",,Southampton,,40,1872,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/samuel-mann.html
"MATHERS, Mr John",,Southampton,,26,1886,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/john-mathers.html
"MCDONALD, Mr Daniel",,Southampton,,26,1886,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/daniel-mcdonald.html
"MCGILL, Mr Thomas",,Southampton,,29,1883,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/thomas-mcgill.html
"MCGIVERN, Mr Henry",,Southampton,,41,1871,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/henry-mcgivern.html
"MCGREEVY, Mr Richard",,Southampton,,26,1886,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/richard-mcgreevy.html
"MCILROY, Mr Robert",,Southampton,,26,1886,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/robert-mcilroy.html
"MCILWAINE, Mr James",,Southampton,,25,1887,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/james-mcilwaine.html
"MECHAN, Mr William",,Southampton,,38,1874,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/william-mechan.html
"MORRISON, Mr Thomas",,Southampton,,26,1886,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/thomas-morrison.html
"PATON, Mr Matthew",,Southampton,,26,1886,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/matthew-paton.html
"RICHARD, Mr McMullan",,Southampton,,23,1889,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/mcmullan-richard.html
"ROBINSON, Mr Thomas",,Southampton,,30,1882,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/thomas-robinson.html
"SHANNON, Mr David",,Southampton,,30,1882,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/david-shannon.html
"SIMMS, Mr William",,Southampton,,38,1874,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/william-simms.html
"SMITH, Mr Joseph",,Southampton,,25,1887,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/joseph-smith.html
"STEVENSON, Mr Andrew",,Southampton,,28,1884,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/andrew-stevenson.html
"STEWART, Mr Matthew",,Southampton,,25,1887,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/matthew-stewart.html
"SWARBRICK, Mr Joseph",,Southampton,,22,1890,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/joseph-swarbrick.html
"TAGGART, Mr William",,Southampton,,23,1889,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/william-taggart.html
"VALLER, Mr Arthur",,Southampton,,25,1887,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/arthur-valler.html
"WALKER, Mr Robert",,Southampton,,43,1869,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/robert-walker.html
"WALLACE, Mr Robert",,Southampton,,26,1886,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/robert-wallace.html
"WAUGH, Mr James",,Southampton,,26,1886,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/james-waugh.html
"ALLEN, Mr Ernest Frederick",Survivor,Not Disembarked,England,24,1888,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/ernest-frederick-allen.html
"AVERY, Mr James Albert",Survivor,Not Disembarked,England,22,1891,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/james-frank-avery.html
"BINSTEAD, Mr Walter William",Survivor,Not Disembarked,England,20,1891,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/walter-binstead.html
"BLAKE, Mr Percival Albert",Survivor,Not Disembarked,England,22,1889,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/percival-albert-blake.html
"CAVELL, Mr George Henry",Survivor,Not Disembarked,England,22,1889,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/george-henry-cavell.html
"DILLON, Mr Thomas Patrick",Survivor,Not Disembarked,England,24,1878,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/thomas-patrick-dillon.html
"DORE, Mr Albert James",Survivor,Not Disembarked,England,22,1889,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/a-dore.html
"FREDERICKS, Mr Walter Francis",Survivor,Not Disembarked,England,21,1891,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/w-fredericks.html
"FRYER, Mr Albert Ernest",Survivor,Not Disembarked,England,29,1882,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/albert-ernest-fryer.html
"HEBB, Mr William Albert",Survivor,Not Disembarked,England,22,1889,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/a-hebb.html
"HUNT, Mr Albert Sylvanus",Survivor,Not Disembarked,England,23,1889,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/albert-hunt.html
"MCGANN, Mr James",Survivor,Not Disembarked,England,26,1886,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/james-mcgann.html
"MCINTYRE, Mr William",Survivor,Not Disembarked,England,21,1890,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/william-mcintyre.html
"O'CONNOR, Mr John",Survivor,Not Disembarked,England,25,1887,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/john-oconnor.html
"PELHAM, Mr George",Survivor,Not Disembarked,England,39,1873,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/george-pelham.html
"PERRY, Mr Edgar Lionel",Survivor,Not Disembarked,England,19,1892,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/edgar-lionel-perry.html
"SHEATH, Mr Frederick",Survivor,Not Disembarked,England,20,1892,Crew,Male,Engineering Crew,Southampton,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-survivor/frederick-sheath.html
