Movie,Country,Year,Production Costs,Movie Profile,Image,Description
Ponyo,Japan,2011,"$34,000,000",http://en.wikipedia.org/wiki/Ponyo,http://upload.wikimedia.org/wikipedia/en/b/b3/Ponyo.jpg,"Ponyo(崖の上のポニョ,Gake no Ue no Ponyo?, literally ""Ponyo on the Cliff""), initially titled in English as Ponyo on the Cliff by the Sea, is a 2008 Japanese animated FantasyComedy film written and directed by Hayao Miyazaki of Studio Ghibli and Toho. It is Miyazaki's eighth film for Ghibli, and his tenth overall. The plot centers on a goldfish named Ponyo who befriends a five-year-old human boy, Sōsuke, and wants to become a human girl."
Pourquoi j'ai (pas) mangé mon père,France,2014,"$44,000,000",,http://cdn-premiere.ladmedia.fr/var/premiere/storage/images/cinema/news-cinema/photo-pourquoi-j-ai-pas-mange-mon-pere-jamel-debbouze-ressuscite-louis-de-funes-4026389/74186752-1-fre-FR/PHOTO-Pourquoi-j-ai-pas-mange-mon-pere-Jamel-Debbouze-ressuscite-Louis-De-Funes_portrait_w532.jpg,
Ra.One,India,2011,"$50,000,000",http://en.wikipedia.org/wiki/Ra.One,http://upload.wikimedia.org/wikipedia/en/5/58/Ra.Oneposter.jpg,"Ra.One is a 2011 Indian science fictionsuperhero film directed by Anubhav Sinha, and starring Shah Rukh Khan, Arjun Rampal, Kareena Kapoor, Armaan Verma, Shahana Goswami and Tom Wu in pivotal roles. The script, written by Sinha and Kanika Dhillon, originated as an idea that Sinha got when he saw a television commercial, and which he subsequently expanded. The film follows Shekhar Subramanium (Khan), a game designer who creates a motion sensor-based game in which the antagonist (Ra.One) is more powerful than the protagonist (G.One). The former escapes from the game's virtual world and enters the real world; his aim is to kill Lucifer, the game ID of Shekhar's son and the only player to have challenged Ra.One's power. Relentlessly pursued, the family is forced to bring out G.One from the virtual world to defeat Ra.One and protect them."
Red Cliff,China,2008,"$80,000,000",http://en.wikipedia.org/wiki/Red_Cliff_(film),http://upload.wikimedia.org/wikipedia/en/c/cf/Redcliffposter.jpg,"Red Cliff is a Chinese epic war film from 2008-2009, based on the Battle of Red Cliffs (208–209 AD) and the events at the end of the Han Dynasty and immediately prior to the Three Kingdoms period in ancient China. The film was directed by John Woo, and stars Tony Leung, Takeshi Kaneshiro, Zhang Fengyi, Chang Chen, Hu Jun, Lin Chi-ling and Zhao Wei."
Sky Fighters,France,2005,"$31,000,000",http://en.wikipedia.org/wiki/Sky_Fighters,http://upload.wikimedia.org/wikipedia/en/f/fe/Les_Chevaliers_du_ciel_poster.jpg,"Les Chevaliers du ciel (English: Sky Fighters) is a 2005 French film directed by Gérard Pirès about two air force pilots preventing a terrorist attack on the Bastille Day celebrations in Paris. It is based on Tanguy et Laverdure, a comics series by Jean-Michel Charlier and Albert Uderzo (of Astérix fame) which was also made into a hugely successful TV series from 1967 to 1969, making the characters of Tanguy and Laverdure a part of popular Francophone culture."
Supercondriaque,France,2014,"$43,363,732",http://en.wikipedia.org/wiki/Supercondriaque,http://upload.wikimedia.org/wikipedia/en/0/05/Supercondriaque_poster.jpg,Supercondriaque (also known as Superchondriac) is a 2014 French comedy film written and directed by Dany Boon.
Sur la piste du Marsupilami,France,2012,"$51,000,000",http://en.wikipedia.org/wiki/Sur_la_piste_du_Marsupilami,http://3.bp.blogspot.com/-nYdpKzD5T2g/T4sU6546R1I/AAAAAAAAC_Q/Il3y2r39SEA/s400/marsupilami.jpg,Sur la Piste du Marsupilami is a 2012 French CGI-animated/live-action hybrid family comedy film based on the comic bookMarsupilami by André Franquin.
The Barber of Siberia,"Russia, France, Italy, Czech Republic",1998,"$35,000,000",http://en.wikipedia.org/wiki/The_Barber_of_Siberia,http://upload.wikimedia.org/wikipedia/en/f/f1/Sibirskij_cirulnik.jpg,"The Barber of Siberia (Сибирский цирюльник, translit. Sibirskiy tsiryulnik) is a 1998 Russian film that re-united the Academy Award-winning team of director Nikita Mikhalkov and Michel Seydoux. It was screened out of competition at the 1999 Cannes Film Festival."
The Battle of Neretva,Yugoslavia,1969,"$71,015,000",http://en.wikipedia.org/wiki/The_Battle_of_Neretva,http://upload.wikimedia.org/wikipedia/en/b/b2/Battle_of_Neretva_poster.jpg,"Battle of Neretva (Serbo-croat: Bitka na Neretvi) is a 1969 Yugoslavianpartisan film. The film was written by Stevan Bulajić and Veljko Bulajić, and directed by Veljko Bulajić. It is based on the true events of World War II. The Battle of the Neretva was due to a strategic plan for a combined Axis powers attack in 1943 against the Yugoslav Partisans. The plan was also known as the Fourth Enemy Offensive and occurred in the area of the Neretva river in Bosnia and Herzegovina."
The Crossing,China,2014,"$48,600,000",http://en.wikipedia.org/wiki/The_Crossing_(2014_film),http://upload.wikimedia.org/wikipedia/en/7/7b/The_Crossing_2014_poster.jpg,"The Crossing (Chinese: 太平轮) is an upcoming Chinese 3Depicdrama film directed by John Woo and written by Hui-Ling Wang. The film stars Zhang Ziyi, Song Hye-kyo, Takeshi Kaneshiro, Huang Xiaoming, Bowie Lam, Tong Dawei and Masami Nagasawa. The film is based on the sinking of the steamer ""Taiping"" in 1949. The incident led to the deaths of over 1,500 passengers and crew. The film's first part will be released in China on December 2, 2014. Part two will be released in May 2015."
The Extraordinary Adventures of Adèle Blanc-Sec,France,2010,"$46,000,000",http://en.wikipedia.org/wiki/The_Extraordinary_Adventures_of_Ad%C3%A8le_Blanc-Sec_(film),http://upload.wikimedia.org/wikipedia/en/d/da/Adele_Blanc-sec_Louise_Bourgoin_Luc_Besson.jpg,"The Extraordinary Adventures of Adèle Blanc-Sec (French: Les Aventures extraordinaires d'Adèle Blanc-Sec), released as Adèle: Rise of the Mummy in Malaysia and Singapore, is a 2010 French fantasy adventure feature film written and directed by Luc Besson. It is loosely based on the comic book series of the same name by Jacques Tardi and, as in the comic, follows the eponymous writer and a number of recurring side characters in a succession of far-fetched incidents in 1910s Paris and beyond, in this episode revolving around parapsychology and ultra-advanced Ancient Egyptian technology, which both pastiche and subvert adventure and speculative fiction of the period. The primarily live-action film, shot in Super 35, incorporates much use of computer animation to portray its fanciful elements and contemporary action filmspecial and visual effects within the form of the older-style adventure films they have largely superseded."
The Flowers of War,China,2011,"$94,000,000",http://en.wikipedia.org/wiki/The_Flowers_of_War,http://upload.wikimedia.org/wikipedia/en/2/25/The_Flowers_of_War_english_poster.jpg,"The Flowers of War (simplified Chinese: 金陵十三钗; traditional Chinese: 金陵十三釵; pinyin: Jīnlíng Shísān Chāi) is a 2011 Chinese historical dramawar film directed by Zhang Yimou, starring Christian Bale, Ni Ni, Zhang Xinyi, Tong Dawei, Atsuro Watabe, Shigeo Kobayashi and Cao Kefan. The film is based on a novella by Geling Yan, 13 Flowers of Nanjing, inspired by the diary of Minnie Vautrin. The story is set in Nanking, China, during the 1937 Rape of Nanking in the Second Sino-Japanese War. A group of escapees, finding sanctuary in a church compound, try to survive the plight and persecution brought on by the violent invasion of the city."
The Flying Swords of Dragon Gate,China,2011,"$35,000,000",http://en.wikipedia.org/wiki/The_Flying_Swords_of_Dragon_Gate,http://upload.wikimedia.org/wikipedia/en/f/f2/The_Flying_Swords_of_Dragon_Gate_poster.jpg,"Flying Swords of Dragon Gate is a 2011 wuxia film directed by Tsui Hark and starring Jet Li, Zhou Xun, Chen Kun, Li Yuchun, Gwei Lun-mei, Louis Fan and Mavis Fan. The film is a remake of Dragon Gate Inn (1966) and New Dragon Gate Inn (1992). Production started on 10 October 2010 and is filmed in 3-D. The film screened out of competition at the 62nd Berlin International Film Festival in February 2012. The film received seven nominations at the 2012 Asian Film Awards, including Best Picture and Best Director."
